,bad-tickers
353,HRPK-BE
354,IUB-BE
355,JMI-BE
356,K20A-BE
357,PW5-BE
358,R8D-BE
359,S2J-BE
360,SQU-BE
361,WHF4-BE
362,BIJ-HM
363,ST5-HM
364,SQS-XETRA
365,3MI-DU
366,ER7-DU
367,RTO1-DU
368,SR9-DU
369,NAQ-HA
370,NMM-HA
371,C8V-MU
372,CTAA-MU
373,FOU1-MU
374,GBQ-MU
375,8JN-STU
376,B5H-STU
377,E1E-STU
378,FHW-STU
379,HYI-STU
380,I8T-STU
381,KYC-STU
382,QH9-STU
383,RH6B-STU
384,SVT1-STU
385,SWL-STU
386,0KN-F
387,14S-F
388,1EL-F
389,1V0-F
390,25F0-F
391,2T7-F
392,3AD1-F
393,4B70-F
394,4C8-F
395,64J-F
396,7T8-F
397,7W5-F
398,7XH-F
399,8320-F
400,8GW-F
401,93V-F
402,97Q-F
403,9QZ-F
404,BOI7-F
405,BUW-F
406,BZA-F
407,DSYA-F
408,DWNP-F
409,G7N-F
410,GQN2-F
411,HXCK-F
412,I54-F
413,J6J-F
414,JC4-F
415,TP21-F
416,VOH-F
417,XP7-F
418,XPX-F
419,HAIOF80A-CO
420,NDIMLOKL1-CO
421,PUMA-LUSE
422,ACGC-EGX
423,ACCESS-GSE
424,FML-GSE
425,062970-KO
426,089970-KO
427,163730-KO
428,417180-KO
429,448730-KO
430,000815-KQ
431,002140-KQ
432,005810-KQ
433,006280-KQ
434,010950-KQ
435,019170-KQ
436,081660-KQ
437,123690-KQ
438,206650-KQ
439,PERGY-BUD
440,ESG-WAR
441,PREMA-KAR
442,CBAPL-AU
443,SMGA-JK
444,BYD-R-BK
445,NEX-R-BK
446,688455-SHG
447,688523-SHG
448,SIGVN0000-CM
449,ADC-VN
450,CSC-VN
451,VIT-VN
452,PREB-RO
453,6446-TW
454,UGLD-MCX
455,6923-TWO
456,BORSK-IS
457,MEGMT-IS
458,ATCN-US
459,BBTT-US
460,FNMCF-US
461,HELO-US
462,IROHR-US
463,LGTT-US
464,PVOZ-US
465,RYDE-US
466,NABB-LSE
467,BFE-BE
468,EB4-BE
469,FW3-BE
470,P911-BE
471,PBU-BE
472,RX4-BE
473,STG-BE
474,SWL-BE
475,TYG-BE
476,XD4-BE
477,QBI-HM
478,SE3-HM
479,LEC-DU
480,LS4C-DU
481,WCMK-DU
482,ENL-HA
483,TOM-HA
484,ABS2-MU
485,CLRN-MU
486,EDGA-MU
487,KA8-MU
488,MLL-MU
489,2OF-STU
490,DVK-STU
491,EZQ-STU
492,HA3-STU
493,IDG-STU
494,LSX-STU
495,LYU-STU
496,T3T1-STU
497,ZRE-STU
498,0XL0-F
499,1FY-F
500,1LU0-F
501,27F0-F
502,28MA-F
503,2KS-F
504,2ZQ-F
505,3OZ0-F
506,59K-F
507,5WS-F
508,6D71-F
509,6WZ-F
510,6YD-F
511,8T2-F
512,905-F
513,9F7-F
514,9RJ-F
515,ABBA-F
516,AP6-F
517,BX9-F
518,CLVB-F
519,EEE-F
520,EH2-F
521,FO5B-F
522,GIX0-F
523,HW4-F
524,IBE5-F
